species	h1	h2	h3	aquatic	dd
Rana_warszewitschii	0	0	0	1	0
Rhacophorus_annamensis	1	0	2	0	0
Rhacophorus_arboreus	1	0	2	0	0
Rhacophorus_bipunctatus	1	0	2	0	0
Rhacophorus_lateralis	1	0	2	0	0
Rhacophorus_malabaricus	1	0	2	0	0
Rhacophorus_maximus	1	0	1	0	0
Rhacophorus_moltrechti	1	0	2	0	0
Rhacophorus_reinwardtii	1	0	2	0	0
Rhacophorus_rhodopus	1	0	2	0	0
Rhacophorus_schlegelii	1	0	1	0	0
Rheobatrachus_silus	1	1	2	0	0
Rhinoderma_darwinii	1	0	2	0	0
Rhinophrynus_dorsalis	0	0	0	0	0
Rulyrana_flavopunctata	1	0	1	0	0
Sachatamia_ilex	1	0	1	0	0
Scaphiophryne_calcarata	0	0	0	1	0
Scaphiophryne_marmorata	0	0	0	1	0
Scaphiophryne_menabensis	0	0	0	1	0
Scaphiopus_couchii	0	0	0	1	0
Scaphiopus_holbrookii	0	0	0	1	0
Scarthyla_goinorum	0	0	0	1	0
Schismaderma_carens	0	0	0	1	0
Scinax_acuminatus	0	0	0	1	0
Scinax_boulengeri	0	0	0	1	0
Scinax_catharinae	0	0	0	1	0
Scinax_cruentommus	0	0	0	1	0
Scinax_elaeochroa	0	0	0	1	0
Scinax_fuscovarius	0	0	0	1	0
Scinax_garbei	0	0	0	1	0
Scinax_nasicus	0	0	0	1	0
Scinax_ruber	0	0	0	1	0
Scinax_squalirostris	0	0	0	1	0
Scotobleps_gabonicus	0	0	0	1	0
Scutiger_chintingensis	0	0	0	1	0
Scythrophrys_sawayae	0	0	0	1	0
Sechellophryne_gardineri	2	2	3	0	1
Semnodactylus_wealii	0	0	0	1	0
Silverstoneia_flotator	1	0	2	0	0
Silverstoneia_nubicola	1	0	2	0	0
Smilisca_baudinii	0	0	0	1	0
Smilisca_cyanosticta	0	0	0	1	0
Smilisca_phaeota	0	0	0	1	0
Smilisca_puma	0	0	0	1	0
Sooglossus_sechellensis	1	0	2	0	0
Spea_bombifrons	0	0	0	1	0
Spea_hammondii	0	0	0	1	0
Spea_intermontana	0	0	0	1	0
Spea_multiplicata	0	0	0	1	0
Spelaeophryne_methneri	2	2	3	0	1
Sphaenorhynchus_dorisae	0	0	0	1	0
Sphaenorhynchus_lacteus	0	0	0	1	0
Sphaerotheca_breviceps	0	0	0	1	0
Sphenophryne_cornuta	2	2	3	0	1
Staurois_latopalmatus	0	0	0	1	0
Staurois_natator	0	0	0	1	0
Stefania_evansi	1	2	3	0	1
Stefania_ginesi	1	2	3	0	1
Stephopaedes_anotis	0	0	2	1	0
Strabomantis_sulcatus	2	2	3	0	1
Strongylopus_fasciatus	0	0	0	1	0
Strongylopus_grayii	1	0	1	0	0
Stumpffia_grandis	1	1	2	0	0
Stumpffia_psologlossa	1	1	2	0	0
Synapturanus_mirandaribeiroi	1	1	2	0	0
Tachycnemis_seychellensis	0	0	0	1	0
Taudactylus_acutirostris	0	0	0	1	0
Telmatobufo_venustus	0	0	0	1	0
Tepuihyla_edelcae	0	0	0	1	0
Teratohyla_midas	1	0	1	0	0
Teratohyla_spinosa	1	0	1	0	0
Theloderma_asperum	1	0	2	0	0
Thoropa_miliaris	1	1	2	0	0
Tlalocohyla_loquax	0	0	0	1	0
Tlalocohyla_picta	0	0	0	1	0
Tomopterna_cryptotis	0	0	0	1	0
Tomopterna_krugerensis	0	0	0	1	0
Tomopterna_marmorata	0	0	0	1	0
Tomopterna_natalensis	0	0	0	1	0
Tomopterna_tandyi	0	0	0	1	0
Trachycephalus_coriaceus	0	0	0	1	0
Trachycephalus_resinifictrix	0	0	2	1	0
Trachycephalus_venulosus	0	0	0	1	0
Trichobatrachus_robustus	0	0	0	1	0
Triprion_petasatus	0	0	0	1	0
Uperodon_systoma	0	0	0	1	0
Xenopus_laevis	0	0	0	1	0
Xenopus_muelleri	0	0	0	1	0
Xenorhina_bouwensi	2	2	3	0	1
